"TargetID","X","Y","Z","X","Y","Z","X","Y","Z","X","Y","Z"
"Target_1",-3430.7,-1059.6,-1274.2,-2953.3,5943.8,-1277.2,8399,892.8,-437.7,861.7,-5907.1,-440.7
"Target_10",577.2,4884.7,-1297.4,2990.5,1936.8,-1300.4,4394.1,-5053.4,-460.5,-5075.6,-1888.1,-464.4
"Target_11",3928.3,4910.1,-1287.6,3015.5,-1415.5,-1290,1042.5,-5079.8,-450.4,-5094.5,1462.9,-454.2
"Target_12",587.8,4881.8,194.9,2987.1,1925.8,192.4,4383.9,-5050.2,1031.7,-5072.7,-1878.1,1027.7
"Target_13",3932.5,4908,168.9,3013.6,-1419.3,166.2,1038.5,-5078,1005.7,-5092.5,1466.9,1001.8
"Target_14",596.9,4877.6,1413.5,2982.8,1917,1412,4374.9,-5046.3,2250.4,-5068.8,-1869.1,2246.7
"Target_15",2120.5,4885.1,1028.6,2990.7,393.2,1026.6,2850.8,-5054.6,1865.6,-5073.2,-345.4,1861.4
"Target_16",3940.5,4899,1431.2,3004.4,-1427.4,1428.4,1030.9,-5068.9,2268.1,-5083.5,1475.1,2263.9
"Target_17",9869.6,2684.5,529,789.9,-7357,526.8,-4899.4,-2857.4,1368.5,-2858.3,7400.4,1361.9
"Target_18",9899,-954.7,-1266.2,-2851.2,-7386.1,-1270.9,-4930.7,783.6,-429.3,782.6,7422.7,-433.7
"Target_19",9905.1,-1357.8,498.1,-3253.9,-7392,492.8,-4936.9,1186.6,1334.7,1185.5,7428.1,1330.5
"Target_2",-3452.9,898.2,-1273.7,-996.5,5965.9,-1277,8422.1,-1065.2,-437.3,-1097,-5925.6,-441
"Target_20",9903.9,-950.3,1946,-2846.7,-7391.5,1940.7,-4935.5,778.6,2783.5,777.8,7427.8,2779.4
"Target_3",-3470.8,3030.4,-1288.9,1135.9,5984.1,-1291.5,8440.9,-3196.2,-452.3,-3228.9,-5939.9,-455.9
"Target_4",-3431.7,-1055.6,516.5,-2949.5,5944.9,513.1,8400.5,887.8,1351.9,857,-5908.4,1349.6
"Target_5",-3449.3,917.5,530.8,-977.5,5962.3,528.9,8418.7,-1083.7,1367.8,-1116,-5922.2,1363.7
"Target_6",-3466.1,3043.7,548.1,1148.5,5979.3,546.4,8436.4,-3210.4,1385.4,-3242.4,-5935,1381
"Target_7",-3431.6,-1054.2,1967.3,-2948.3,5944.6,1964.8,8400.7,886.8,2802.7,855.8,-5908,2800.5
"Target_8",-3448,912.2,1953.1,-983,5960.4,1951.2,8417.1,-1078.8,2789.6,-1110.5,-5920.8,2785.8
"Target_9",-3463.7,3041.6,1943.8,1146.4,5976.6,1942.2,8434,-3208,2780.7,-3240,-5932.9,2776.8
